address,name,area,floor
399-1,두정역범양레우스알파,84.92,18
399-1,두정역범양레우스알파,84.92,5
399-1,두정역범양레우스알파,84.92,13
399-1,두정역범양레우스알파,84.92,14
399-1,두정역범양레우스알파,84.92,7
399-1,두정역범양레우스알파,84.92,6
399-1,두정역범양레우스알파,84.92,3
399-1,두정역범양레우스알파,84.92,21
2045,두정역이안더센트럴,84.925,5
2045,두정역이안더센트럴,84.975,17
2045,두정역이안더센트럴,84.966,10
2045,두정역이안더센트럴,84.975,13
2045,두정역이안더센트럴,84.975,14
2045,두정역이안더센트럴,102.503,11
2045,두정역이안더센트럴,114.946,19
2045,두정역이안더센트럴,102.503,20
2045,두정역이안더센트럴,84.975,7
2045,두정역이안더센트럴,114.946,16
2045,두정역이안더센트럴,84.925,21
2045,두정역이안더센트럴,84.925,7
2045,두정역이안더센트럴,84.966,6
2045,두정역이안더센트럴,114.946,7
2045,두정역이안더센트럴,102.503,22
2045,두정역이안더센트럴,84.925,17
2045,두정역이안더센트럴,102.503,1
2045,두정역이안더센트럴,84.925,20
2045,두정역이안더센트럴,102.503,19
2045,두정역이안더센트럴,84.975,4
2045,두정역이안더센트럴,84.925,14
2045,두정역이안더센트럴,84.925,8
2045,두정역이안더센트럴,84.975,21
2045,두정역이안더센트럴,84.975,3
2045,두정역이안더센트럴,84.975,8
2045,두정역이안더센트럴,84.925,22
2045,두정역이안더센트럴,84.925,6
2045,두정역이안더센트럴,84.975,1
2045,두정역이안더센트럴,84.975,11
2045,두정역이안더센트럴,84.966,20
2045,두정역이안더센트럴,84.925,19
2045,두정역이안더센트럴,84.966,17
2045,두정역이안더센트럴,102.503,4
2045,두정역이안더센트럴,84.925,2
2045,두정역이안더센트럴,102.503,8
2045,두정역이안더센트럴,84.975,16
2045,두정역이안더센트럴,102.503,18
2045,두정역이안더센트럴,84.975,6
2045,두정역이안더센트럴,114.946,10
2045,두정역이안더센트럴,84.925,18
2045,두정역이안더센트럴,84.925,23
2045,두정역이안더센트럴,84.975,15
2045,두정역이안더센트럴,114.946,22
2045,두정역이안더센트럴,114.946,11
2045,두정역이안더센트럴,102.503,7
2045,두정역이안더센트럴,102.503,15
2045,두정역이안더센트럴,84.925,13
2045,두정역이안더센트럴,102.503,21
2045,두정역이안더센트럴,84.975,23
2045,두정역이안더센트럴,84.925,1
2045,두정역이안더센트럴,84.925,15
2045,두정역이안더센트럴,84.966,22
2045,두정역이안더센트럴,114.946,20
2045,두정역이안더센트럴,84.925,9
2045,두정역이안더센트럴,84.925,12
2045,두정역이안더센트럴,102.503,6
2045,두정역이안더센트럴,102.503,2
2045,두정역이안더센트럴,114.946,17
