읍면동,번지,본번,부번,단지명,매매전월세구분,전용면적(㎡),계약년월,계약일,거래금액(만원),월세,층,건축년도,해제사유발생일,거래유형
두정동,1000,1000,0000,한성스위트빌,전세,71.0431,1,21,"        18,000",             0,15,2002,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,84.9,1,21,"        17,300",             0,22,1996,,중개거래
두정동,1864,1864,0000,우성,전세,59.695,1,21,"        13,000",             0,5,1996,,중개거래
두정동,1332,1332,0000,더리치빌2,전세,33.38,1,21,"         8,000",             0,4,2013,,중개거래
두정동,1486,1486,0000,두정미소마을,매매,17,1,21,"         4,000",0,4,2012,,중개거래
두정동,1283,1283,0000,프라지움,매매,19.914,1,21,"         3,700",0,3,2013,,중개거래
두정동,1359,1359,0000,벨라지오,월세,21.86,1,21,           500,            35,5,2014,,중개거래
두정동,1464,1464,0000,아크로텔천안두정,월세,17.6,1,21,           300,            35,3,2015,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,매매,59.92,1,22,"        38,500",0,20,2020,,중개거래
두정동,2037,2037,0000,두정역푸르지오,매매,84.9403,1,22,"        37,300",0,26,2009,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,매매,72.6915,1,22,"        36,800",0,14,2013,,중개거래
두정동,2056,2056,0000,두정역코아루스위트,매매,84.9345,1,22,"        34,500",0,4,2014,,중개거래
두정동,2068,2068,0000,한화포레나천안두정,전세,76.9979,1,22,"        30,000",             0,12,2022,,중개거래
두정동,2063,2063,0000,e편한세상두정3차,전세,84.9888,1,22,"        30,000",             0,4,2017,,중개거래
두정동,2010,2010,0000,두정5차푸르지오,매매,84.742,1,22,"        26,600",0,2,2004,,중개거래
두정동,2055,2055,0000,이편한세상-천안두정2차,전세,84.6564,1,22,"        24,500",             0,10,2013,,중개거래
두정동,1078,1078,0000,계룡리슈빌,전세,73.9463,1,22,"        24,500",             0,11,2004,,직거래
두정동,606,0606,0000,부경파크빌,전세,84.7373,1,22,"        24,500",             0,7,2003,,직거래
두정동,1596,1596,0000,우남1차,전세,84.9154,1,22,"        21,000",             0,9,2003,,중개거래
두정동,665,0665,0000,서해그랑블,전세,84.9333,1,22,"        18,900",             0,12,2004,,직거래
두정동,1377,1377,0000,프라지움9차,전세,45.8103,1,22,"        11,000",             0,5,2017,,중개거래
두정동,1293,1293,0000,천안펜타폴리스2차,월세,23.21,1,22,"         1,000",            30,3,2013,,중개거래
두정동,526-1,0526,0001,극동늘푸른,월세,59.91,1,22,"         1,000",            70,17,1996,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,84.975,1,23,"        36,700",0,13,2011,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,84.975,1,23,"        35,000",0,14,2011,,중개거래
두정동,2035,2035,0000,한성필하우스3차,전세,84.9165,1,23,"        27,000",             0,9,2004,,중개거래
두정동,2035,2035,0000,한성필하우스3차,전세,84.9165,1,23,"        27,000",             0,9,2004,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,49.96,1,23,"        15,300",             0,4,1996,,중개거래
두정동,527,0527,0000,주공그린(8단지),전세,59.97,1,23,"        13,000",             0,19,1996,,중개거래
두정동,1480,1480,0000,두정하이빌2,월세,27.36,1,23,"         5,000",            25,6,2014,,중개거래
두정동,603,0603,0000,세광엔리치빌2,매매,84.9932,1,24,"        27,500",0,14,2003,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,전세,102.503,1,24,"        24,000",             0,11,2011,,중개거래
두정동,63-6,0063,0006,두정역효성해링턴플레이스,전세,59.92,1,24,"        17,800",             0,22,2020,,중개거래
두정동,526-1,0526,0001,극동늘푸른,전세,59.91,1,24,"        15,000",             0,21,1996,,중개거래
두정동,1418,1418,0000,해피드림4차,월세,43.51,1,24,"         4,000",            25,7,2017,,중개거래
두정동,1418,1418,0000,해피드림4차,월세,43.51,1,24,"         3,000",            35,7,2017,,중개거래
두정동,1466,1466,0000,두정역펜타폴리스,월세,27.285,1,24,"         1,000",            40,8,2013,,중개거래
두정동,1417,1417,0000,해피드림3차,월세,35.751,1,24,           500,            53,5,2016,,중개거래
두정동,2045,2045,0000,두정역이안더센트럴,매매,114.946,1,25,"        46,000",0,19,2011,,중개거래
두정동,603,0603,0000,세광엔리치빌2,전세,106.1016,1,25,"        27,000",             0,6,2003,,중개거래
두정동,2063,2063,0000,e편한세상두정3차,전세,75.7971,1,25,"        23,000",             0,7,2017,,중개거래
두정동,2063,2063,0000,e편한세상두정3차,전세,75.7971,1,25,"        23,000",             0,7,2017,,중개거래
두정동,606,0606,0000,부경파크빌,전세,84.9605,1,25,"        19,950",             0,13,2003,,중개거래
