dong,address,par_add,sub_add,name,deal,area,month,day,acount,rent,floor,year,property,station_area
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,10400,28,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,10400,28,14,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,10400,19,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,10400,28,1,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,9000,23,10,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,9000,23,18,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,8800,15,1,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,8800,15,9,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,8800,15,21,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,8400,34,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,8400,24,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,6300,40,18,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,6300,40,18,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,10,6300,30,16,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,10,5400,33,1,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,13,11200,32,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,13,11200,21,11,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,13,10400,28,13,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,13,10400,28,8,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,9000,23,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,9000,23,7,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,9000,23,15,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,9000,23,9,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,9000,23,2,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,8800,15,17,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,7200,28,14,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,13,6800,44,20,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,13,5300,25,9,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,84.92,6,14,11200,21,9,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,10400,28,4,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,10400,28,19,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,10400,19,3,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,10400,19,5,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,74.9633,6,14,10400,19,5,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,14,9000,23,11,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,14,9000,23,22,2020,중개거래,
두정동,399-1,399,1,두정역범양레우스알파,월세,59.9857,6,14,9000,23,19,2020,중개거래,
