address,name,deal,area,month,day,acount,rent,floor,property
666,두정4차푸르지오,매매,75.19,2,5,24350,0,13,중개거래
666,두정4차푸르지오,매매,75.19,3,26,23300,0,3,직거래
666,두정4차푸르지오,매매,75.19,3,5,22800,0,4,중개거래
666,두정4차푸르지오,매매,75.19,4,16,24400,0,11,중개거래
666,두정4차푸르지오,매매,75.19,4,29,23000,0,4,중개거래
666,두정4차푸르지오,매매,75.19,5,7,24800,0,13,중개거래
666,두정4차푸르지오,매매,84.9,7,16,25500,0,14,중개거래
666,두정4차푸르지오,매매,75.19,7,20,21800,0,1,중개거래
666,두정4차푸르지오,매매,84.9,8,30,24700,0,4,중개거래
666,두정4차푸르지오,매매,84.9,9,4,25300,0,13,중개거래
666,두정4차푸르지오,매매,75.19,9,4,23200,0,3,중개거래
666,두정4차푸르지오,매매,75.19,10,6,23500,0,7,중개거래
2010,두정5차푸르지오,매매,84.742,1,22,26600,0,2,중개거래
2010,두정5차푸르지오,매매,84.742,2,19,27700,0,3,중개거래
2010,두정5차푸르지오,매매,101.945,2,24,25500,0,9,중개거래
2010,두정5차푸르지오,매매,84.742,3,27,28000,0,15,중개거래
2010,두정5차푸르지오,매매,101.945,4,9,29000,0,1,직거래
2010,두정5차푸르지오,매매,84.742,5,1,27300,0,4,중개거래
2010,두정5차푸르지오,매매,84.742,5,14,27500,0,9,중개거래
2010,두정5차푸르지오,매매,84.742,6,16,27300,0,4,중개거래
2010,두정5차푸르지오,매매,84.742,7,4,28500,0,8,중개거래
2010,두정5차푸르지오,매매,101.945,9,20,31300,0,2,중개거래
1486,두정미소마을,매매,17,1,21,4000,0,4,중개거래
1486,두정미소마을,매매,17,3,26,4200,0,2,중개거래
1486,두정미소마을,매매,17,3,7,3500,0,4,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,5,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,7,직거래
1486,두정미소마을,매매,18.32,3,7,3500,0,6,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,6,중개거래
1486,두정미소마을,매매,17,3,7,3500,0,6,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,2,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,2,중개거래
1486,두정미소마을,매매,17,3,7,3500,0,3,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,3,중개거래
1486,두정미소마을,매매,18.32,3,7,3500,0,4,중개거래
1486,두정미소마을,매매,17,6,21,5000,0,7,중개거래
1486,두정미소마을,매매,17,8,26,4300,0,4,중개거래
1486,두정미소마을,매매,17,9,14,4200,0,5,중개거래
