address,name,deal,area,month,day,acount,floor,property,
526-1,극동늘푸른,전세,59.91,10,1,17000,7,중개거래,
526-1,극동늘푸른,전세,59.91,10,18,15200,9,중개거래,
526-1,극동늘푸른,전세,59.91,10,22,16500,20,중개거래,
526-1,극동늘푸른,전세,59.91,10,24,16275,22,중개거래,
526-1,극동늘푸른,전세,84.9,10,31,20000,8,직거래,
526-1,극동늘푸른,전세,84.9,10,6,19000,10,중개거래,
530,대우2차,전세,84.48,1,7,17500,14,중개거래,두정역
530,대우2차,전세,84.48,2,16,21800,12,중개거래,두정역
530,대우2차,전세,84.48,3,19,16800,10,중개거래,두정역
530,대우2차,전세,84.48,4,5,21000,2,중개거래,두정역
530,대우2차,전세,84.48,5,18,16800,4,중개거래,두정역
530,대우2차,전세,84.48,5,9,15000,13,중개거래,두정역
530,대우2차,전세,84.48,5,9,15000,13,중개거래,두정역
530,대우2차,전세,84.48,9,4,21000,14,중개거래,두정역
530,대우2차,전세,84.48,9,4,21000,14,중개거래,두정역
525-1,대우그린,전세,59.946,1,10,17500,17,직거래,두정역
525-1,대우그린,전세,84.95,1,11,23000,8,직거래,두정역
525-1,대우그린,전세,59.946,1,13,17000,17,중개거래,두정역
525-1,대우그린,전세,33.6,1,14,10500,23,중개거래,두정역
525-1,대우그린,전세,84.95,1,15,22000,11,중개거래,두정역
525-1,대우그린,전세,84.95,1,15,22000,11,중개거래,두정역
525-1,대우그린,전세,69.966,1,15,15750,8,중개거래,두정역
525-1,대우그린,전세,69.966,1,19,19000,5,중개거래,두정역
525-1,대우그린,전세,69.966,1,25,15750,24,중개거래,두정역
525-1,대우그린,전세,84.95,1,7,21000,17,중개거래,두정역
525-1,대우그린,전세,84.95,1,7,21000,17,중개거래,두정역
525-1,대우그린,전세,84.95,1,9,17300,19,중개거래,두정역
525-1,대우그린,전세,69.966,1,9,15750,15,중개거래,두정역
525-1,대우그린,전세,69.966,2,12,15200,19,중개거래,두정역
525-1,대우그린,전세,69.966,2,14,15200,9,중개거래,두정역
525-1,대우그린,전세,59.946,2,19,17000,13,중개거래,두정역
525-1,대우그린,전세,59.946,2,5,13650,3,중개거래,두정역
525-1,대우그린,전세,59.946,2,5,13650,3,중개거래,두정역
525-1,대우그린,전세,59.946,2,6,17500,21,중개거래,두정역
525-1,대우그린,전세,69.966,2,9,15300,17,중개거래,두정역
525-1,대우그린,전세,59.946,3,18,18000,19,직거래,두정역
525-1,대우그린,전세,33.6,3,22,10500,4,중개거래,두정역
525-1,대우그린,전세,84.95,3,9,20000,22,중개거래,두정역
525-1,대우그린,전세,84.95,4,1,22500,7,중개거래,두정역
525-1,대우그린,전세,84.95,4,1,16000,17,중개거래,두정역
525-1,대우그린,전세,69.966,4,12,20000,6,중개거래,두정역
525-1,대우그린,전세,59.946,4,15,18000,14,중개거래,두정역
525-1,대우그린,전세,33.6,4,17,12000,9,중개거래,두정역
